MEDIA OUTLET,MEDIA TYPE, ESTIMATED AUDIENCE SIZE ,MALE,FEMALE,Children (7 - 12),Teens (13 - 17),Youth/Young Adults (18 - 29),Middle Aged Adults (30 - 44),Older Adults,UPPER CLASS,UPPER MIDDLE CLASS,LOWER MIDDLE CLASS,LOWER CLASS,BELOW SUBSISTENCE,MARRIED,SINGLE,OTHERS,PRIMARY ORLOWER,HIGH/SECONDARY SCHOOL,DIPLOMA/NCE,"   DEGREE, HND OR HIGHER","N30,000 OR LESS  _  _","N30,000 to N50,000  _  _","N50,000 to N100,000  _  _","N100,000 to N200,000   _","N200,000 to N500,000   _","N500,000   and above __    _",   Don't Know/Refused,CHRISTIANITY,ISLAM,OTHERS_1,WORKING,SELF -MPLOYED,STUDENT/APPRENTICE,RETIRED/ FULL HOUSEWIFE,UNEMPLOYED
Fabmagazineonline.com,Online Magazine,643628,51%,49%,10%,5%,40%,20%,25%,18%,19%,24%,30%,10%,55%,41%,4%,0%,43%,11%,45%,14%,16%,33%,19%,17%,0%,0%,68%,32%,0%,20%,30%,34%,13%,3%
Genevieveng.com,Online Magazine,1566886,55%,45%,11%,8%,56%,23%,5%,24%,20%,24%,16%,15%,27%,73%,0%,3%,21%,43%,34%,16%,5%,42%,18%,3%,0%,15%,69%,31%,0%,32%,17%,51%,0%,1%
Marketingedge.com.ng,Online Magazine,639799,43%,57%,2%,1%,35%,35%,27%,8%,3%,11%,71%,6%,51%,39%,10%,45%,32%,6%,16%,10%,6%,70%,3%,3%,2%,6%,64%,36%,0%,68%,13%,10%,10%,0%
Modemenmag.com,Online Magazine,624427,51%,49%,11%,10%,23%,27%,30%,9%,15%,20%,47%,10%,61%,29%,11%,19%,71%,2%,8%,41%,16%,34%,4%,4%,0%,0%,83%,17%,0%,47%,15%,29%,9%,0%
Motherhoodinstyle.net,Online Magazine,1027982,30%,70%,8%,3%,41%,32%,18%,20%,14%,19%,25%,21%,51%,43%,6%,16%,35%,22%,28%,33%,0%,20%,35%,8%,0%,3%,66%,34%,0%,50%,17%,27%,6%,0%
Oknigeria.com,Online Magazine,968431,34%,66%,9%,3%,22%,51%,15%,0%,10%,3%,69%,17%,44%,21%,36%,17%,41%,36%,6%,74%,0%,21%,6%,0%,0%,0%,75%,25%,0%,67%,8%,22%,2%,1%
Happenings.com.ng,Online Magazine,374251,45%,55%,23%,8%,28%,18%,23%,6%,15%,0%,73%,5%,81%,12%,8%,22%,72%,6%,0%,57%,0%,29%,14%,0%,0%,0%,80%,20%,0%,45%,11%,38%,0%,6%
Tell.ng,Online Magazine,1051948,63%,37%,14%,9%,38%,19%,22%,30%,14%,15%,24%,17%,41%,55%,4%,15%,30%,34%,20%,33%,6%,28%,10%,15%,3%,5%,63%,37%,0%,35%,22%,30%,4%,8%
Thesourceng.com,Online Magazine,532484,61%,39%,12%,4%,49%,24%,11%,34%,13%,35%,3%,15%,51%,49%,0%,7%,9%,51%,33%,0%,13%,55%,13%,13%,1%,5%,89%,11%,0%,39%,35%,25%,0%,1%
Thisdaystyle.ng,Online Magazine,512950,76%,24%,5%,2%,41%,35%,18%,16%,36%,23%,19%,6%,40%,60%,0%,0%,32%,44%,24%,0%,14%,21%,10%,16%,3%,36%,60%,40%,0%,65%,7%,23%,0%,4%
Twmagazine.net,Online Magazine,438092,67%,33%,15%,6%,39%,16%,25%,16%,6%,24%,44%,9%,66%,34%,0%,17%,34%,35%,14%,0%,24%,30%,40%,5%,1%,0%,42%,58%,0%,16%,41%,42%,1%,0%
newawatchngr.com,Online Magazine,940853,33%,67%,26%,12%,56%,7%,0%,10%,24%,24%,21%,20%,53%,47%,0%,24%,24%,27%,25%,21%,15%,24%,27%,12%,0%,0%,41%,59%,0%,5%,41%,55%,0%,0%
castles.com.ng,Online Magazine,1018057,42%,58%,19%,10%,61%,5%,5%,5%,26%,32%,20%,18%,42%,58%,0%,24%,54%,12%,10%,9%,13%,11%,44%,11%,0%,11%,63%,37%,0%,3%,54%,43%,0%,0%
completesports.com,Online Magazine,1386996,53%,47%,9%,24%,47%,9%,11%,24%,15%,26%,19%,16%,18%,79%,3%,16%,55%,15%,15%,2%,3%,19%,59%,10%,0%,6%,87%,13%,0%,37%,45%,18%,0%,0%
vogue.com,Online Magazine,1128254,64%,36%,16%,8%,41%,24%,11%,16%,15%,14%,35%,20%,34%,63%,3%,7%,42%,23%,27%,46%,6%,36%,7%,6%,0%,0%,47%,53%,0%,29%,21%,42%,3%,5%
Forbes.com,Online Magazine,1129458,67%,33%,19%,6%,40%,18%,18%,16%,27%,11%,19%,28%,23%,76%,0%,15%,47%,25%,13%,42%,2%,25%,23%,8%,0%,0%,77%,20%,4%,36%,23%,39%,0%,1%
Pridemagazineng.com,Online Magazine,566260,48%,52%,23%,8%,40%,16%,14%,6%,30%,16%,38%,10%,21%,72%,6%,20%,39%,11%,30%,17%,7%,33%,35%,6%,2%,0%,63%,35%,2%,17%,28%,41%,8%,6%
ovationinternational.com,Online Magazine,1326840,67%,33%,10%,8%,48%,23%,12%,11%,14%,39%,15%,20%,37%,55%,8%,13%,39%,25%,23%,15%,9%,43%,17%,8%,6%,2%,65%,33%,2%,18%,36%,39%,5%,1%
Others,Online Magazine,1880447,50%,50%,20%,11%,39%,14%,16%,12%,8%,18%,46%,17%,43%,52%,5%,23%,35%,20%,22%,37%,11%,22%,21%,6%,2%,0%,59%,39%,1%,18%,21%,51%,2%,7%
ynaija.com,Online Magazine,298971,50%,50%,18%,6%,27%,11%,40%,11%,0%,12%,51%,27%,56%,16%,27%,24%,37%,7%,33%,0%,75%,16%,9%,0%,0%,0%,73%,17%,10%,5%,64%,24%,8%,0%
