MEDIA OUTLET,MEDIA TYPE,ESTIMATED AUDIENCE SIZE,REGION,STATE,Main State,Percentage,Other Key States,Percentage2,GENDER:,MALE,FEMALE,AGE GROUP OF LISTENERS:,Children (7 - 12),Teens (13 - 17),Youth/Young Adults (18 - 29),Middle Aged Adults (30 - 44),Older Adults,SOCIAL CLASS:,UPPER CLASS,UPPER MIDDLE CLASS,LOWER MIDDLE CLASS,LOWER CLASS,BELOW SUBSISTENCE,MARITAL STATUS:,MARRIED,SINGLE,OTHERS,LITERACY LEVEL(EDUCATION):,PRIMARY ORLOWER,HIGH/SECONDARY SCHOOL,DIPLOMA/NCE,"---DEGREE, HND OR HIGHER",AUDIENCE INCOME (PERSONAL):,"N30,000 OR LESS  _  _","N30,000 to N50,000  _  _","N50,000 to N100,000  _  _","N100,000 to N200,000   _","N200,000 to N500,000   _","N500,000   and above __    _",---Don't Know/Refused,RELIGION:,CHRISTIANITY,ISLAM,OTHERS_2,AUDIENCE OCCUPATION:,WORKING,SELF -MPLOYED,STUDENT/APPRENTICE,RETIRED/ FULL HOUSEWIFE,UNEMPLOYED,PROGRAMME WITH HIGHEST AUDIENCE:,Program Name (Highest),Percentage_3,Program Name (Second),Percentage_4,TIME:,Main peak period,Percentage_5,Subsidiary peak period,Percentage_6
Gateway AM 603KW Abeokuta,Radio,150965,SOUTH WEST,Ogun,Ogun,100%,,,,59%,41%,,8%,3%,22%,48%,20%,,5%,5%,26%,59%,5%,,59%,24%,17%,,5%,21%,58%,16%,,6%,6%,6%,0%,0%,0%,82%,,52%,42%,6%,,27%,27%,46%,0%,0%,,News,84%,Musicals,68%,,06:00 - 09:00 pm,63%,06:00 - 09:00 am,58%
Gateway 90.5FM Abeokuta,Radio,412370,SOUTH WEST,Ogun,Ogun,100%,,,,53%,47%,,5%,10%,17%,44%,25%,,10%,2%,38%,44%,6%,,87%,10%,3%,,4%,21%,46%,29%,,8%,21%,12%,4%,2%,0%,53%,,63%,37%,0%,,26%,38%,31%,5%,0%,,News,86%,Musicals,50%,,06:00 - 09:00 am,74%,06:00 - 09:00 pm,49%
Paramount 94.5FM Abeokuta,Radio,561283,SOUTH WEST,Ogun,Ogun,100%,,,,43%,57%,,7%,4%,24%,48%,17%,,9%,7%,38%,38%,8%,,66%,25%,9%,,7%,21%,50%,22%,,11%,12%,18%,4%,7%,2%,46%,,60%,37%,3%,,33%,37%,30%,0%,0%,,News,87%,Musicals,59%,,06:00 - 09:00 am,72%,06:00 - 09:00 pm,60%
Babcock University Radio Hope 89.1FM Ilisan-Remo,Radio,86793,SOUTH WEST,Ogun,Ogun,100%,,,,37%,63%,,7%,2%,9%,37%,45%,,27%,9%,27%,19%,18%,,80%,10%,10%,,0%,46%,54%,0%,,10%,20%,20%,0%,0%,10%,40%,,27%,73%,0%,,50%,0%,50%,0%,0%,,News,91%,Musicals,54%,,06:00 - 09:00 am,89%,03:00 - 06:00 pm,34%
Rock City 101.9FM Abeokuta,Radio,442276,SOUTH WEST,Ogun,Ogun,100%,,,,40%,60%,,5%,6%,25%,47%,18%,,9%,18%,37%,31%,5%,,73%,21%,6%,,4%,17%,54%,25%,,4%,12%,20%,6%,0%,4%,54%,,68%,32%,0%,,40%,47%,13%,0%,0%,,News,82%,Musicals,57%,,06:00 - 09:00 am,70%,06:00 - 09:00 pm,50%
Hebron 88.2FM Covenant University,Radio,79253,SOUTH WEST,Ogun,Ogun,100%,,,,51%,49%,,15%,5%,10%,40%,30%,,9%,0%,41%,50%,0%,,75%,13%,12%,,10%,30%,40%,20%,,13%,38%,12%,0%,0%,0%,37%,,50%,50%,0%,,15%,25%,45%,15%,0%,,News,60%,Musicals,40%,,06:00 - 09:00 am,89%,06:00 - 09:00 pm,34%
Geolabious 123.5FM Abeokuta,Radio,24160,SOUTH WEST,Ogun,Ogun,100%,,,,100%,0%,,0%,0%,17%,50%,34%,,0%,0%,0%,100%,0%,,100%,0%,0%,,0%,0%,67%,33%,,0%,0%,0%,0%,0%,0%,100%,,100%,0%,0%,,0%,0%,0%,0%,0%,,Musicals,100%,Talk Show,67%,,09:00 - 12:00 noon,100%,06:00 - 09:00 pm,100%
SMA 104.7FM IKOFA,Radio,285822,SOUTH WEST,Ogun,Ogun,100%,,,,56%,44%,,5%,5%,24%,55%,13%,,17%,11%,19%,45%,8%,,76%,12%,12%,,5%,33%,47%,15%,,12%,15%,12%,3%,0%,12%,46%,,61%,36%,3%,,28%,46%,26%,0%,0%,,News,78%,Musicals,44%,,06:00 - 09:00 am,70%,03:00 - 06:00 pm,40%
Sweet FM 107.1 Abeokuta,Radio,278282,SOUTH WEST,Ogun,Ogun,100%,,,,61%,39%,,7%,5%,23%,42%,23%,,9%,14%,45%,29%,3%,,81%,13%,6%,,3%,31%,35%,31%,,0%,31%,12%,7%,6%,0%,44%,,63%,34%,3%,,18%,47%,19%,16%,0%,,News,74%,Musicals,43%,,06:00 - 09:00 am,67%,06:00 - 09:00 pm,45%
Family 88.5 FM Asero Abeokuta,Radio,364562,SOUTH WEST,Ogun,Ogun,100%,,,,51%,49%,,11%,5%,13%,47%,24%,,11%,15%,33%,39%,2%,,82%,10%,8%,,9%,24%,46%,21%,,5%,18%,9%,6%,3%,0%,59%,,57%,39%,4%,,10%,50%,40%,0%,0%,,News,67%,Musicals,54%,,06:00 - 09:00 am,65%,06:00 - 09:00 pm,41%
Correct104.3FM Lagos,Radio,214485,SOUTH WEST,Lagos,Lagos,100%,,,,52%,48%,,15%,12%,19%,25%,30%,,13%,26%,49%,6%,6%,,76%,24%,0%,,13%,55%,31%,1%,,8%,31%,15%,0%,7%,0%,39%,,69%,31%,0%,,34%,30%,32%,2%,2%,,News,93%,Musicals,20%,,06:00 - 09:00 am,63%,09:00 - 12:00 noon,37%
Cool96.9FM Lagos,Radio,746167,SOUTH WEST,Lagos,Lagos,95%,Ogun,5%,,45%,55%,,11%,10%,15%,34%,30%,,7%,18%,34%,40%,1%,,72%,28%,0%,,14%,31%,43%,12%,,0%,28%,27%,2%,6%,1%,36%,,58%,42%,0%,,48%,28%,20%,2%,2%,,News,83%,Musicals,45%,,06:00 - 09:00 am,67%,06:00 - 09:00 pm,29%
Eko89.5FM Lagos,Radio,159544,SOUTH WEST,Lagos,Lagos,100%,,,,44%,56%,,19%,15%,13%,29%,24%,,0%,17%,9%,74%,0%,,77%,23%,0%,,8%,34%,50%,8%,,11%,22%,0%,0%,0%,0%,67%,,66%,34%,0%,,26%,32%,42%,0%,0%,,Musicals,82%,News,74%,,06:00 - 09:00 pm,45%,09:00 - 12:00 noon,36%
Inspiration92.3FM Lagos,Radio,486549,SOUTH WEST,Lagos,Lagos,100%,,,,61%,39%,,11%,7%,17%,35%,31%,,11%,19%,19%,51%,0%,,74%,26%,0%,,6%,33%,47%,14%,,3%,16%,31%,0%,3%,5%,42%,,55%,45%,0%,,42%,31%,23%,2%,2%,,News,91%,Musicals,55%,,06:00 - 09:00 am,66%,06:00 - 09:00 pm,35%
Choice 103.5 FM Lagos,Radio,40876,SOUTH WEST,Lagos,Lagos,100%,,,,69%,31%,,0%,0%,17%,49%,34%,,0%,0%,34%,31%,35%,,100%,0%,0%,,0%,34%,65%,1%,,34%,0%,0%,0%,0%,0%,66%,,69%,31%,0%,,32%,0%,34%,34%,0%,,Musicals,100%,News,100%,,06:00 - 09:00 am,100%,06:00 - 09:00 pm,66%
Metro97.7FM Lagos,Radio,52302,SOUTH WEST,Lagos,Lagos,100%,,,,27%,73%,,18%,6%,12%,40%,24%,,0%,24%,76%,0%,0%,,64%,36%,0%,,0%,49%,51%,0%,,0%,100%,0%,0%,0%,0%,0%,,100%,0%,0%,,52%,24%,24%,0%,0%,,News,76%,Musicals,49%,,06:00 - 09:00 am,100%,09:00 - 12 midnight,
Bond 92.9FM Lagos,Radio,1422441,SOUTH WEST,Lagos,Lagos,88%,Ogun,12%,,49%,51%,,11%,7%,25%,38%,21%,,8%,16%,36%,38%,2%,,76%,21%,3%,,5%,31%,46%,18%,,8%,7%,30%,1%,4%,3%,47%,,69%,30%,1%,,62%,9%,26%,3%,0%,,News,79%,Musicals,54%,,06:00 - 09:00 am,57%,06:00 - 09:00 pm,38%
Radio Lagos 107.5FM Tiwantiwa,Radio,1410152,SOUTH WEST,Lagos,Lagos,95%,Ogun,5%,,51%,49%,,10%,5%,23%,43%,19%,,9%,7%,40%,43%,1%,,77%,22%,1%,,8%,25%,40%,27%,,5%,17%,39%,0%,2%,5%,32%,,78%,22%,0%,,56%,12%,24%,6%,2%,,News,89%,Musicals,46%,,06:00 - 09:00 am,63%,06:00 - 09:00 pm,31%
Ray-Power 100.5FM Lagos,Radio,320408,SOUTH WEST,Lagos,Lagos,100%,,,,48%,52%,,12%,5%,19%,32%,33%,,8%,30%,33%,25%,4%,,80%,20%,0%,,8%,33%,42%,17%,,5%,10%,26%,4%,5%,0%,50%,,45%,55%,0%,,67%,8%,21%,4%,0%,,News,91%,Talk Show,44%,,06:00 - 09:00 am,66%,06:00 - 09:00 pm,29%
Rhythm 93.7FM Lagos,Radio,365241,SOUTH WEST,Lagos,Lagos,100%,,,,62%,38%,,8%,7%,26%,37%,22%,,11%,12%,25%,52%,0%,,75%,25%,0%,,11%,18%,52%,19%,,4%,13%,13%,0%,13%,0%,57%,,59%,41%,0%,,70%,11%,15%,4%,0%,,News,92%,Musicals,77%,,06:00 - 09:00 pm,56%,06:00 - 09:00 am,55%
Star 101.5FM Lagos,Radio,210713,SOUTH WEST,Lagos,Lagos,70%,Ogun,30%,,56%,44%,,13%,3%,29%,42%,14%,,0%,25%,27%,45%,3%,,75%,21%,4%,,0%,37%,59%,4%,,9%,7%,23%,0%,0%,0%,61%,,38%,62%,0%,,67%,16%,17%,0%,0%,,News,95%,Sports,54%,,06:00 - 09:00 am,62%,06:00 - 09:00 pm,46%
Hot 93.3FM Lagos,Radio,160863,SOUTH WEST,Lagos,Lagos,100%,,,,52%,48%,,6%,10%,26%,33%,26%,,7%,9%,32%,52%,0%,,81%,19%,0%,,8%,41%,51%,0%,,9%,36%,18%,0%,9%,0%,28%,,40%,60%,0%,,51%,24%,25%,0%,0%,,News,100%,Musicals,50%,,06:00 - 09:00 am,81%,03:00 - 06:00 pm,50%
Unilag 103.1FM Lagos,Radio,67686,SOUTH WEST,Lagos,Lagos,100%,,,,62%,38%,,0%,21%,41%,19%,19%,,0%,0%,21%,79%,0%,,38%,62%,0%,,0%,21%,79%,0%,,21%,21%,0%,21%,0%,0%,37%,,81%,19%,0%,,37%,0%,63%,0%,0%,,Musicals,100%,Sports,74%,,12:00 - 03:00 pm,68%,06:00 - 09:00 am,64%
MAX 102.3FM Lagos,Radio,560383,SOUTH WEST,Lagos,Lagos,100%,,,,48%,52%,,9%,3%,18%,35%,36%,,2%,15%,23%,60%,0%,,81%,19%,0%,,8%,31%,51%,10%,,5%,29%,24%,0%,3%,0%,39%,,71%,29%,0%,,58%,15%,20%,7%,0%,,News,82%,Talk Show,50%,,06:00 - 09:00 am,53%,06:00 - 09:00 am,53%
Wazobia 95.1FM Lagos,Radio,1166920,SOUTH WEST,Lagos,Lagos,100%,,,,53%,47%,,11%,6%,20%,39%,25%,,2%,16%,30%,51%,1%,,81%,19%,0%,,9%,27%,46%,18%,,4%,19%,30%,0%,3%,0%,44%,,68%,32%,0%,,66%,7%,23%,4%,0%,,News,83%,Musicals,59%,,06:00 - 09:00 am,66%,06:00 - 09:00 pm,40%
Top 90.9FM Lagos,Radio,121307,SOUTH WEST,Lagos,Lagos,100%,,,,58%,42%,,8%,14%,23%,32%,23%,,11%,22%,0%,55%,12%,,49%,51%,0%,,23%,22%,33%,22%,,13%,13%,13%,0%,12%,0%,49%,,66%,34%,0%,,44%,21%,35%,0%,0%,,News,76%,Musicals,49%,,03:00 - 06:00 pm,58%,12:00 - 03:00 pm,44%
Classic 97.3FM Lagos,Radio,208415,SOUTH WEST,Lagos,Lagos,77%,Ogun,23%,,52%,48%,,8%,3%,19%,49%,23%,,7%,16%,36%,37%,4%,,58%,34%,8%,,10%,10%,17%,63%,,4%,7%,61%,0%,0%,0%,28%,,70%,30%,0%,,59%,21%,14%,0%,6%,,News,64%,Musicals,47%,,06:00 - 09:00 am,50%,09:00 - 12:00 noon,27%
Beat 99.9FM Lagos,Radio,344579,SOUTH WEST,Lagos,Lagos,100%,,,,41%,59%,,8%,7%,25%,37%,24%,,0%,15%,19%,66%,0%,,74%,26%,0%,,0%,38%,54%,8%,,12%,21%,26%,0%,0%,0%,41%,,84%,16%,0%,,55%,11%,27%,7%,0%,,News,80%,Musicals,58%,,06:00 - 09:00 pm,63%,06:00 - 09:00 am,53%
Smooth 98.1FM Lagos,Radio,134053,SOUTH WEST,Lagos,Lagos,100%,,,,52%,48%,,8%,13%,25%,35%,20%,,20%,0%,10%,70%,0%,,78%,22%,0%,,0%,30%,51%,19%,,11%,0%,0%,0%,11%,0%,78%,,39%,61%,0%,,60%,10%,30%,0%,0%,,News,100%,Musicals,100%,,03:00 - 06:00 pm,56%,06:00 - 09:00 am,56%
Rainbow 94.1FM IsheriOgunState,Radio,279532,SOUTH WEST,Lagos,Lagos,100%,,,,45%,55%,,14%,10%,20%,38%,19%,,10%,14%,38%,38%,0%,,69%,31%,0%,,5%,52%,24%,19%,,0%,24%,29%,0%,0%,6%,41%,,77%,23%,0%,,62%,5%,29%,4%,0%,,News,82%,Musicals,57%,,06:00 - 09:00 am,52%,09:00 - 12:00 noon,35%
City 105.1FM Lagos,Radio,361283,SOUTH WEST,Lagos,Lagos,100%,,,,51%,49%,,7%,7%,24%,46%,16%,,8%,14%,37%,41%,0%,,63%,37%,0%,,7%,42%,36%,15%,,0%,21%,38%,0%,0%,4%,37%,,77%,23%,0%,,63%,11%,23%,3%,0%,,News,91%,Musicals,59%,,06:00 - 09:00 am,52%,06:00 - 09:00 pm,28%
Naija 102.7FM Lagos,Radio,523466,SOUTH WEST,Lagos,Lagos,100%,,,,54%,46%,,17%,9%,20%,30%,25%,,10%,13%,33%,44%,0%,,83%,17%,0%,,5%,41%,41%,13%,,3%,23%,13%,0%,6%,4%,51%,,74%,26%,0%,,43%,7%,37%,10%,3%,,News,83%,Musicals,60%,,06:00 - 09:00 am,59%,06:00 - 09:00 pm,45%
Nigeria Info 99.3FM Lagos,Radio,497975,SOUTH WEST,Lagos,Lagos,100%,,,,56%,44%,,11%,12%,23%,31%,24%,,0%,7%,40%,50%,3%,,81%,19%,0%,,8%,32%,52%,8%,,12%,9%,15%,0%,0%,0%,64%,,72%,28%,0%,,55%,13%,27%,5%,0%,,News,81%,Musicals,59%,,06:00 - 09:00 am,53%,06:00 - 09:00 pm,47%
Lagos Traffic Radio 96.1FM Lagos,Radio,298875,SOUTH WEST,Lagos,Lagos,100%,,,,66%,34%,,11%,9%,25%,38%,18%,,0%,14%,54%,27%,5%,,73%,27%,0%,,9%,46%,18%,27%,,5%,21%,31%,0%,0%,0%,43%,,78%,22%,0%,,51%,22%,23%,4%,0%,,News,95%,Musicals,52%,,06:00 - 09:00 am,73%,03:00 - 06:00 pm,27%
WFM 91.7 Arepo,Radio,186355,SOUTH WEST,Lagos,Lagos,100%,,,,45%,55%,,11%,12%,18%,47%,14%,,7%,8%,14%,71%,0%,,83%,17%,0%,,7%,22%,71%,0%,,0%,8%,25%,0%,8%,0%,59%,,42%,58%,0%,,57%,14%,22%,7%,0%,,News,90%,Musicals,70%,,06:00 - 09:00 pm,61%,06:00 - 09:00 am,60%
Urban Radio 96.5 FM Lagos,Radio,170970,SOUTH WEST,Lagos,Lagos,100%,,,,33%,67%,,6%,2%,19%,44%,29%,,0%,7%,31%,62%,0%,,74%,26%,0%,,0%,47%,31%,22%,,0%,34%,16%,0%,0%,0%,50%,,62%,38%,0%,,84%,0%,16%,0%,0%,,News,100%,Musicals,66%,,06:00 - 09:00 pm,58%,06:00 - 09:00 am,58%
Soundcity 98.5 FM Lagos,Radio,377987,SOUTH WEST,Lagos,Lagos,100%,,,,60%,40%,,8%,7%,24%,38%,24%,,4%,10%,44%,42%,0%,,63%,37%,0%,,4%,37%,52%,7%,,4%,20%,24%,4%,0%,0%,48%,,57%,43%,0%,,60%,18%,19%,0%,3%,,News,92%,Musicals,48%,,06:00 - 09:00 am,62%,03:00 - 06:00 pm,41%
Faaji106.5FM Lagos,Radio,1628111,SOUTH WEST,Lagos,Lagos,85%,Ogun,15%,,46%,54%,,11%,7%,19%,42%,21%,,8%,10%,32%,48%,2%,,75%,23%,2%,,8%,29%,41%,22%,,9%,16%,20%,3%,6%,2%,44%,,74%,26%,0%,,61%,13%,25%,1%,0%,,News,83%,Musicals,58%,,06:00 - 09:00 am,53%,06:00 - 09:00 pm,51%
Kiss 98.9 FM Lagos,Radio,135372,SOUTH WEST,Lagos,Lagos,100%,,,,62%,38%,,7%,11%,25%,38%,19%,,0%,0%,49%,51%,0%,,78%,22%,0%,,9%,29%,62%,0%,,0%,10%,11%,0%,0%,0%,79%,,70%,30%,0%,,71%,10%,19%,0%,0%,,Musicals,75%,News,74%,,06:00 - 09:00 pm,62%,06:00 - 09:00 am,61%
Kennis 104.1FM Arepo,Radio,105923,SOUTH WEST,Lagos,Lagos,100%,,,,40%,60%,,18%,19%,26%,25%,13%,,0%,12%,12%,76%,0%,,67%,33%,0%,,12%,38%,37%,13%,,0%,0%,16%,0%,0%,0%,84%,,88%,12%,0%,,49%,0%,51%,0%,0%,,News,100%,Musicals,73%,,06:00 - 09:00 pm,58%,03:00 - 06:00 pm,44%
Lagos Talks 91.3 FM Lagos,Radio,289639,SOUTH WEST,Lagos,Lagos,100%,,,,34%,66%,,11%,9%,16%,29%,37%,,9%,14%,45%,32%,0%,,84%,16%,0%,,9%,22%,42%,27%,,0%,16%,36%,6%,5%,0%,37%,,64%,36%,0%,,64%,4%,23%,5%,4%,,News,85%,Musicals,62%,,06:00 - 09:00 am,58%,03:00 - 06:00 pm,33%
RayPower 105.5 FM Benin,Radio,309156,SOUTH SOUTH,Edo,Edo,100%,,,,55%,45%,,15%,7%,49%,23%,6%,,4%,44%,33%,10%,9%,,31%,61%,8%,,0%,32%,49%,19%,,10%,10%,48%,20%,2%,0%,10%,,69%,26%,5%,,29%,22%,49%,0%,0%,,News,64%,Musicals,47%,,12:00 - 03:00 pm,49%,06:00 - 09:00 pm,24%
Silverbird Rhythm 93.7 FM Benin,Radio,377625,SOUTH SOUTH,Edo,Edo,100%,,,,56%,44%,,11%,6%,45%,28%,10%,,8%,34%,38%,13%,7%,,46%,54%,0%,,2%,28%,35%,35%,,8%,15%,62%,15%,0%,0%,0%,,95%,3%,2%,,29%,26%,43%,0%,2%,,News,81%,Drama,40%,,12:00 - 03:00 pm,39%,06:00 - 09:00 pm,33%
EBS 95.75 FM Aduwawa,Radio,609699,SOUTH SOUTH,Edo,Edo,100%,,,,53%,47%,,5%,3%,63%,26%,4%,,2%,33%,37%,20%,8%,,34%,65%,1%,,2%,29%,44%,25%,,7%,27%,42%,12%,2%,0%,10%,,97%,3%,0%,,41%,11%,48%,0%,0%,,News,86%,Drama,46%,,06:00 - 09:00 am,50%,12:00 - 03:00 pm,46%
Independent Radio 92.3 FM Benin,Radio,719755,SOUTH SOUTH,Edo,Edo,100%,,,,55%,45%,,16%,6%,44%,29%,5%,,9%,26%,27%,29%,9%,,34%,63%,3%,,4%,33%,35%,28%,,12%,23%,44%,11%,5%,0%,5%,,85%,13%,2%,,40%,13%,45%,0%,2%,,News,81%,Drama,41%,,12:00 - 03:00 pm,46%,06:00 - 09:00 am,38%
Bronze 101.5 FM Aduwawa,Radio,163822,SOUTH SOUTH,Edo,Edo,100%,,,,63%,37%,,10%,7%,52%,24%,8%,,17%,31%,28%,8%,16%,,35%,65%,0%,,0%,25%,41%,34%,,9%,14%,59%,15%,0%,0%,3%,,87%,13%,0%,,41%,21%,38%,0%,0%,,News,78%,Musicals,40%,,12:00 - 03:00 pm,55%,06:00 - 09:00 pm,37%
Vibes 97.3 FM Benin,Radio,369230,SOUTH SOUTH,Edo,Edo,100%,,,,64%,36%,,7%,5%,54%,30%,4%,,6%,27%,41%,17%,9%,,41%,59%,0%,,0%,30%,38%,32%,,15%,20%,40%,14%,0%,0%,11%,,87%,11%,2%,,41%,27%,32%,0%,0%,,News,83%,Musicals,36%,,12:00 - 03:00 pm,52%,06:00 - 09:00 am,45%
"Hillside 94.1 FM Auchi Poly Radio,Auchi",Radio,55028,SOUTH SOUTH,Edo,Edo,100%,,,,67%,33%,,18%,6%,57%,19%,0%,,11%,13%,13%,63%,0%,,0%,100%,0%,,0%,38%,27%,35%,,32%,32%,35%,0%,0%,0%,1%,,76%,24%,0%,,35%,0%,65%,0%,0%,,News,100%,Drama,65%,,12:00 - 03:00 pm,70%,06:00 - 09:00 am,42%
KU 92.7 FM Benin,Radio,360183,SOUTH SOUTH,Edo,Edo,100%,,,,41%,59%,,9%,6%,49%,31%,6%,,6%,24%,34%,27%,9%,,39%,57%,4%,,4%,28%,46%,22%,,14%,28%,40%,15%,0%,0%,3%,,81%,17%,2%,,35%,14%,49%,0%,2%,,News,84%,Musicals,38%,,12:00 - 03:00 pm,52%,06:00 - 09:00 am,34%
SPEED 96.9 FM Benin,Radio,866351,SOUTH SOUTH,Edo,Edo,100%,,,,54%,46%,,11%,5%,55%,26%,4%,,10%,26%,33%,23%,8%,,30%,69%,1%,,3%,34%,32%,31%,,7%,31%,40%,11%,3%,0%,8%,,83%,14%,3%,,48%,9%,41%,0%,2%,,News,78%,Drama,39%,,06:00 - 09:00 am,47%,12:00 - 03:00 pm,39%
DBS Melody 88.6 FM Warri,Radio,614204,SOUTH SOUTH,Delta,Delta,100%,,,,47%,53%,,5%,5%,39%,45%,7%,,7%,38%,25%,19%,11%,,49%,43%,8%,,13%,20%,34%,33%,,19%,5%,27%,16%,1%,2%,30%,,93%,7%,0%,,41%,24%,29%,0%,6%,,Sports,56%,News,54%,,06:00 - 09:00 am,44%,03:00 - 06:00 pm,41%
JFM 95.1 FM Otu-Jeremi,Radio,237231,SOUTH SOUTH,Delta,Delta,90%,Imo,10%,,42%,58%,,8%,11%,32%,42%,7%,,17%,40%,18%,7%,18%,,55%,28%,17%,,18%,11%,38%,33%,,24%,4%,16%,21%,12%,4%,19%,,89%,11%,0%,,46%,29%,18%,0%,7%,,Sports,51%,News,49%,,06:00 - 09:00 am,61%,09:00 - 12:00 noon,39%
Voice of Delta 97.9 Asaba,Radio,734184,SOUTH SOUTH,Delta,Delta,98%,Bayelsa,2%,,48%,52%,,9%,7%,32%,45%,8%,,2%,37%,26%,31%,4%,,38%,48%,14%,,15%,13%,35%,37%,,18%,5%,29%,14%,4%,0%,30%,,93%,6%,1%,,41%,22%,31%,0%,6%,,Sports,64%,News,48%,,06:00 - 09:00 am,65%,09:00 - 12:00 noon,43%
Joko 88.1 FM Ugheli,Radio,205424,SOUTH SOUTH,Delta,Delta,91%,Bayelsa,9%,,48%,52%,,8%,12%,35%,32%,13%,,12%,29%,34%,12%,13%,,48%,43%,9%,,17%,30%,20%,33%,,19%,5%,5%,20%,5%,5%,41%,,91%,4%,5%,,38%,25%,33%,0%,4%,,News,61%,Sports,37%,,06:00 - 09:00 am,52%,03:00 - 06:00 pm,31%
Crown 88.9 FM Asaba,Radio,602388,SOUTH SOUTH,Delta,Delta,95%,Bayelsa,5%,,57%,43%,,8%,7%,31%,38%,16%,,5%,36%,27%,26%,6%,,46%,38%,16%,,22%,7%,31%,40%,,16%,7%,27%,13%,2%,5%,30%,,87%,12%,1%,,45%,27%,25%,0%,3%,,Sports,53%,News,48%,,09:00 - 12:00 noon,45%,06:00 - 09:00 am,39%
Trend 100.9 FM Asaba,Radio,538700,SOUTH SOUTH,Delta,Delta,95%,Bayelsa,5%,,50%,50%,,7%,5%,32%,41%,15%,,5%,33%,27%,30%,5%,,53%,34%,13%,,16%,11%,39%,34%,,13%,7%,32%,18%,4%,0%,26%,,84%,11%,5%,,46%,30%,24%,0%,0%,,News,51%,Sports,42%,,06:00 - 09:00 am,60%,03:00 - 06:00 pm,33%
Rize 106.7 FM Warri,Radio,218805,SOUTH SOUTH,Delta,Delta,100%,,,,33%,67%,,13%,9%,35%,32%,12%,,7%,50%,27%,4%,12%,,62%,38%,0%,,23%,12%,35%,30%,,15%,0%,10%,24%,10%,0%,41%,,88%,12%,0%,,27%,32%,30%,0%,11%,,Talk Show,79%,News,79%,,03:00 - 06:00 pm,79%,06:00 - 09:00 pm,31%
Quest FM 93.1 Ughelli,Radio,446863,SOUTH SOUTH,Delta,Delta,100%,,,,54%,46%,,8%,13%,31%,33%,16%,,6%,24%,31%,31%,8%,,43%,46%,11%,,19%,10%,38%,33%,,19%,6%,34%,22%,4%,0%,15%,,85%,9%,6%,,39%,25%,32%,0%,4%,,Sports,56%,News,42%,,06:00 - 09:00 am,62%,03:00 - 06:00 pm,30%
Kpoko 100.5 FM Warri,Radio,756489,SOUTH SOUTH,Delta,Delta,100%,,,,55%,45%,,10%,8%,26%,41%,16%,,6%,31%,27%,26%,10%,,44%,37%,19%,,21%,15%,40%,24%,,20%,10%,21%,17%,1%,1%,30%,,87%,3%,10%,,39%,32%,22%,0%,7%,,Sports,72%,News,35%,,09:00 - 12:00 noon,56%,06:00 - 09:00 am,38%
Glory 97.1 FM /Radio Bayelsa Yenagoa,Radio,792357,SOUTH SOUTH,Bayelsa,Bayelsa,100%,,,,53%,47%,,10%,4%,49%,34%,4%,,9%,17%,38%,18%,18%,,38%,62%,0%,,15%,21%,26%,38%,,19%,15%,48%,18%,0%,0%,0%,,94%,6%,0%,,54%,7%,38%,1%,0%,,News,74%,Drama,26%,,06:00 - 09:00 am,52%,09:00 - 12:00 noon,22%
RayPower 102.5 FM Yenagoa,Radio,568717,SOUTH SOUTH,Bayelsa,Bayelsa,100%,,,,48%,52%,,9%,5%,51%,31%,5%,,10%,10%,40%,20%,20%,,45%,55%,0%,,13%,16%,29%,42%,,20%,20%,42%,18%,0%,0%,0%,,96%,4%,0%,,53%,7%,38%,2%,0%,,News,80%,Drama,21%,,06:00 - 09:00 am,56%,09:00 - 12:00 noon,18%
Royal 95.5 FM Yenagoa,Radio,344615,SOUTH SOUTH,Bayelsa,Bayelsa,100%,,,,47%,53%,,14%,6%,46%,31%,4%,,11%,11%,36%,20%,22%,,37%,63%,0%,,19%,25%,19%,37%,,25%,16%,39%,20%,0%,0%,0%,,91%,8%,1%,,48%,7%,43%,2%,0%,,News,73%,Drama,27%,,06:00 - 09:00 am,55%,09:00 - 12:00 noon,20%
Creek 101.5 FM Yenagoa,Radio,244899,SOUTH SOUTH,Bayelsa,Bayelsa,100%,,,,42%,58%,,10%,4%,51%,29%,6%,,11%,15%,31%,21%,22%,,42%,58%,0%,,25%,20%,20%,35%,,24%,14%,53%,9%,0%,0%,0%,,95%,5%,0%,,51%,0%,47%,2%,0%,,News,83%,Others,39%,,06:00 - 09:00 am,60%,03:00 - 06:00 am,25%
CRBC/Paradise 105.5 FM Calabar,Radio,315239,SOUTH SOUTH,Cross Rivers,Cross Rivers,100%,,,,42%,58%,,34%,15%,29%,16%,6%,,11%,11%,41%,31%,6%,,10%,83%,7%,,10%,58%,15%,17%,,10%,3%,27%,3%,12%,0%,45%,,98%,2%,0%,,23%,10%,63%,0%,4%,,Musicals,45%,News,33%,,12:00 - 03:00 pm,46%,06:00 - 09:00 am,33%
