MEDIA OUTLET,MEDIA TYPE,ESTIMATED AUDIENCE SIZE,REGION,STATE,Main State,Percentage,Other Key States,Percentage2,GENDER:,MALE,FEMALE,AGE GROUP OF LISTENERS:,Children (7 - 12),Teens (13 - 17),Youth/Young Adults (18 - 29),Middle Aged Adults (30 - 44),Older Adults,SOCIAL CLASS:,UPPER CLASS,UPPER MIDDLE CLASS,LOWER MIDDLE CLASS,LOWER CLASS,BELOW SUBSISTENCE,MARITAL STATUS:,MARRIED,SINGLE,OTHERS,LITERACY LEVEL(EDUCATION):,PRIMARY ORLOWER,HIGH/SECONDARY SCHOOL,DIPLOMA/NCE,"---DEGREE, HND OR HIGHER",AUDIENCE INCOME (PERSONAL):,"N30,000 OR LESS  _  _","N30,000 to N50,000  _  _","N50,000 to N100,000  _  _","N100,000 to N200,000   _","N200,000 to N500,000   _","N500,000   and above __    _",---Don't Know/Refused,RELIGION:,CHRISTIANITY,ISLAM,OTHERS_2,AUDIENCE OCCUPATION:,WORKING,SELF -MPLOYED,STUDENT/APPRENTICE,RETIRED/ FULL HOUSEWIFE,UNEMPLOYED,PROGRAMME WITH HIGHEST AUDIENCE:,Program Name (Highest),Percentage_3,Program Name (Second),Percentage_4,TIME:,Main peak period,Percentage_5,Subsidiary peak period,Percentage_6
"Suncity 101.9 FM, Ondo",Radio,284842,SOUTH WEST,Ondo,Ondo,100%,,,,50%,50%,,15%,7%,24%,21%,33%,,7%,3%,8%,72%,10%,,68%,24%,8%,,41%,46%,5%,8%,,41%,6%,49%,3%,0%,0%,1%,,66%,34%,0%,,57%,10%,31%,2%,0%,,News,38%,Talk Show,26%,,06:00 - 09:00 am,53%,12:00 - 03:00 pm,23%
Eki 100.9 Fm Ondo,Radio,369347,SOUTH WEST,Ondo,Ondo,100%,,,,58%,42%,,8%,7%,22%,24%,40%,,10%,6%,4%,67%,13%,,56%,29%,15%,,37%,45%,10%,8%,,46%,6%,47%,0%,0%,0%,1%,,64%,36%,0%,,53%,18%,24%,5%,0%,,News,54%,Business,21%,,06:00 - 09:00 am,46%,09:00 - 12:00 noon,16%
"Gold 95.5 FM, Ilesha",Radio,196789,SOUTH WEST,Osun,Osun,100%,,,,37%,63%,,14%,9%,32%,34%,11%,,8%,4%,22%,52%,14%,,68%,27%,5%,,26%,57%,17%,0%,,59%,36%,5%,0%,0%,0%,0%,,71%,22%,7%,,45%,14%,41%,0%,0%,,News,85%,Musicals,67%,,06:00 - 09:00 am,81%,06:00 - 09:00 pm,62%
"Living Spring 104.5 FM, Osogbo",Radio,378761,SOUTH WEST,Osun,Osun,100%,,,,42%,58%,,17%,8%,29%,35%,12%,,10%,10%,34%,31%,15%,,48%,37%,15%,,10%,78%,10%,2%,,45%,33%,10%,10%,2%,0%,0%,,69%,31%,0%,,54%,0%,46%,0%,0%,,News,88%,Musicals,67%,,06:00 - 09:00 am,58%,06:00 - 09:00 am,58%
"OSBC/Orisun 89.5 FM, Ile-Ife",Radio,1026381,SOUTH WEST,Osun,Osun,100%,,,,47%,53%,,12%,5%,33%,41%,10%,,2%,7%,34%,44%,13%,,63%,26%,11%,,10%,84%,5%,1%,,43%,38%,8%,11%,0%,0%,0%,,53%,45%,2%,,60%,2%,38%,0%,0%,,News,96%,Musicals,64%,,06:00 - 09:00 pm,72%,06:00 - 09:00 am,61%
"Great 94.5 FM, Ile-Ife",Radio,428869,SOUTH WEST,Osun,Osun,100%,,,,59%,41%,,15%,7%,33%,35%,10%,,7%,3%,29%,42%,19%,,62%,32%,6%,,15%,76%,9%,0%,,46%,36%,2%,13%,2%,0%,1%,,49%,47%,4%,,51%,3%,46%,0%,0%,,News,97%,Musicals,62%,,06:00 - 09:00 am,70%,06:00 - 09:00 pm,70%
"Unique 103.1 FM, Ilesa",Radio,436715,SOUTH WEST,Osun,Osun,100%,,,,48%,52%,,10%,6%,22%,37%,26%,,6%,8%,37%,35%,14%,,73%,23%,4%,,8%,77%,13%,2%,,40%,25%,14%,17%,4%,0%,0%,,52%,47%,1%,,68%,2%,30%,0%,0%,,News,95%,Musicals,58%,,06:00 - 09:00 pm,69%,06:00 - 09:00 am,54%
"Isundunrin 101.9 FM, Ejigbo",Radio,58305,SOUTH WEST,Osun,Osun,100%,,,,37%,63%,,9%,16%,38%,38%,0%,,12%,0%,25%,50%,13%,,57%,29%,14%,,13%,75%,0%,12%,,28%,43%,14%,0%,0%,14%,1%,,50%,38%,12%,,75%,0%,25%,0%,0%,,News,88%,Musicals,88%,,06:00 - 09:00 pm,86%,06:00 - 09:00 am,71%
"Rave 91.7 FM, Osogbo",Radio,399936,SOUTH WEST,Osun,Osun,100%,,,,56%,44%,,14%,9%,30%,32%,16%,,12%,5%,26%,42%,15%,,58%,38%,4%,,15%,75%,10%,0%,,51%,27%,8%,11%,2%,0%,1%,,64%,34%,2%,,51%,4%,45%,0%,0%,,News,89%,Musicals,74%,,06:00 - 09:00 pm,69%,06:00 - 09:00 am,67%
BCOS 98.5FM Ibadan/OluyoleFM,Radio,285167,SOUTH WEST,Oyo,Oyo,100%,,,,38%,62%,,6%,10%,39%,33%,12%,,12%,8%,33%,33%,14%,,36%,59%,5%,,13%,42%,20%,25%,,23%,23%,18%,19%,14%,0%,3%,,98%,2%,0%,,50%,0%,50%,0%,0%,,News,52%,Sports,35%,,06:00 - 09:00 am,48%,12:00 - 03:00 pm,29%
